code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00848,34.0,34,1,15,0.8
HK.00851,50.0,86,0,0,0.2
HK.00852,86.0,93,0,0,0.1
HK.00853,20.0,42,1,5,0.95
HK.00854,41.0,30,1,13,0.9
HK.00855,36.0,30,1,8,0.95
HK.00856,70.0,45,1,12,0.65
HK.00857,78.0,56,1,1,0.3
HK.00858,50.0,49,1,2,0.3
HK.00859,88.0,93,0,0,0.1
HK.00860,68.0,92,0,0,0.2
HK.00861,82.0,96,0,0,0.3
HK.00862,92.0,16,1,3,0.6
HK.00863,16.0,9,1,25,1.0
HK.00864,34.0,15,1,29,1.0
HK.00865,84.0,81,0,0,0.0
HK.00866,52.0,74,1,3,0.45
HK.00867,38.0,30,1,4,0.75
HK.00868,47.0,23,1,12,0.75
HK.00869,54.0,65,0,0,0.0
HK.00871,19.0,51,0,0,0.65
HK.00873,12.0,22,0,0,0.8
HK.00874,31.0,25,1,47,1.0
HK.00875,2.0,2,1,10,0.85
HK.00876,5.0,17,1,6,0.65
HK.00878,54.0,42,0,0,0.55
HK.00880,17.0,36,0,0,0.65
HK.00881,1.0,2,1,26,1.0
HK.00882,49.0,61,0,0,0.05
HK.00883,78.0,67,1,1,0.25
HK.00884,2.0,7,1,13,0.75
HK.00887,75.0,72,0,0,0.25
HK.00888,5.0,32,1,9,0.8
HK.00889,43.0,22,1,7,0.95
HK.00893,44.0,35,1,15,0.8
HK.00894,94.0,82,1,2,0.45
HK.00895,21.0,34,1,1,0.7
HK.00896,65.0,46,1,1,0.7
HK.00897,73.0,90,0,0,0.05
HK.00898,50.0,30,1,17,0.9
HK.00899,87.0,95,0,0,0.25
HK.00900,83.0,68,0,0,0.05
HK.00901,,16,1,3,0.6
HK.00902,64.0,51,0,0,0.35
HK.00907,48.0,58,0,0,0.15
HK.00909,3.0,3,1,51,1.0
HK.00910,78.0,92,1,8,0.5
HK.00911,67.0,1,1,50,1.0
HK.00912,69.0,68,0,0,0.15
HK.00914,29.0,19,1,11,0.9
HK.00915,50.0,81,1,2,0.25
HK.00916,31.0,31,1,11,0.85
