code,rs_percentile_12m,rs_percentile_3m
HK.01529,94.0,98
HK.01530,23.0,34
HK.01532,86.0,83
HK.01536,96.0,98
HK.01538,91.0,82
HK.01539,44.0,24
HK.01540,93.0,94
HK.01541,11.0,25
HK.01542,5.0,9
HK.01543,29.0,64
HK.01545,91.0,75
HK.01546,78.0,23
HK.01547,73.0,77
HK.01548,96.0,98
HK.01549,19.0,75
HK.01551,50.0,38
HK.01552,87.0,82
HK.01553,68.0,68
HK.01555,48.0,88
HK.01556,31.0,28
HK.01557,89.0,11
HK.01559,26.0,37
HK.01560,95.0,98
HK.01561,60.0,92
HK.01563,34.0,64
HK.01565,57.0,22
HK.01566,99.0,99
HK.01568,54.0,54
HK.01569,20.0,45
HK.01570,97.0,75
HK.01571,61.0,43
HK.01572,39.0,48
HK.01575,27.0,49
HK.01576,72.0,73
HK.01577,82.0,74
HK.01578,54.0,60
HK.01579,76.0,43
HK.01580,88.0,94
HK.01581,88.0,84
HK.01582,92.0,97
HK.01583,53.0,52
HK.01585,28.0,16
HK.01586,22.0,14
HK.01587,23.0,19
HK.01588,27.0,74
HK.01591,27.0,26
HK.01592,36.0,8
HK.01593,49.0,79
HK.01596,8.0,68
HK.01597,92.0,44
HK.01598,65.0,57
HK.01599,37.0,46
HK.01600,45.0,54
HK.01601,50.0,31
